#ID = Human_miRNA
#miRNA_ID = miRNA symbol (Human)
#Human_miRBase = miRBase ID (Human)
#SPOT_ID = control
ID	miRNA_ID	Human_miRBase	SPOT_ID
5S_rRNA			5S_rRNA
Hy3			Hy3
RNU1			RNU1
RNU5			RNU5
RNU6-1			RNU6-1
RNU6-1_RNU6-2			RNU6-1_RNU6-2
SNORA66			SNORA66
SNORD10			SNORD10
SNORD110			SNORD110
SNORD118			SNORD118
SNORD12			SNORD12
SNORD13			SNORD13
SNORD14B			SNORD14B
SNORD15A			SNORD15A
SNORD2			SNORD2
SNORD38B			SNORD38B
SNORD3@			SNORD3@
SNORD44			SNORD44
SNORD48			SNORD48
SNORD49A			SNORD49A
SNORD4A			SNORD4A
SNORD6			SNORD6
SNORD65			SNORD65
SNORD68			SNORD68
bkv-miR-B1-3p/jcv-miR-J1-3p	bkv-miR-B1-3p/jcv-miR-J1-3p		
bkv-miR-B1-5p	bkv-miR-B1-5p	MIMAT0009149	
ebv-miR-BART1-3p	ebv-miR-BART1-3p	MIMAT0003390	
ebv-miR-BART1-5p	ebv-miR-BART1-5p	MIMAT0000999	
ebv-miR-BART10	ebv-miR-BART10	MIMAT0003420	
ebv-miR-BART10*	ebv-miR-BART10*	MIMAT0004817	
ebv-miR-BART11-3p	ebv-miR-BART11-3p	MIMAT0003422	
ebv-miR-BART11-5p	ebv-miR-BART11-5p	MIMAT0003421	
ebv-miR-BART12	ebv-miR-BART12	MIMAT0003423	
ebv-miR-BART13	ebv-miR-BART13	MIMAT0003424	
ebv-miR-BART13*	ebv-miR-BART13*	MIMAT0004818	
ebv-miR-BART14	ebv-miR-BART14	MIMAT0003426	
ebv-miR-BART14*	ebv-miR-BART14*	MIMAT0003425	
ebv-miR-BART15	ebv-miR-BART15	MIMAT0003713	
ebv-miR-BART16	ebv-miR-BART16	MIMAT0003714	
ebv-miR-BART17-3p	ebv-miR-BART17-3p	MIMAT0003716	
ebv-miR-BART17-5p	ebv-miR-BART17-5p	MIMAT0003715	
ebv-miR-BART18-3p	ebv-miR-BART18-3p	MIMAT0004835	
ebv-miR-BART18-5p	ebv-miR-BART18-5p	MIMAT0003717	
ebv-miR-BART19-3p	ebv-miR-BART19-3p	MIMAT0003718	
ebv-miR-BART19-5p	ebv-miR-BART19-5p	MIMAT0004836	
ebv-miR-BART2-3p	ebv-miR-BART2-3p	MIMAT0004744	
ebv-miR-BART2-5p	ebv-miR-BART2-5p	MIMAT0001000	
ebv-miR-BART20-3p	ebv-miR-BART20-3p	MIMAT0003720	
ebv-miR-BART20-5p	ebv-miR-BART20-5p	MIMAT0003719	
ebv-miR-BART21-3p	ebv-miR-BART21-3p	MIMAT0010131	
ebv-miR-BART21-5p	ebv-miR-BART21-5p	MIMAT0010130	
ebv-miR-BART22	ebv-miR-BART22	MIMAT0010132	
ebv-miR-BART3	ebv-miR-BART3	MIMAT0003411	
ebv-miR-BART3*	ebv-miR-BART3*	MIMAT0003410	
ebv-miR-BART4	ebv-miR-BART4	MIMAT0003412	
ebv-miR-BART4*	ebv-miR-BART4*	MIMAT0009204	
ebv-miR-BART5	ebv-miR-BART5	MIMAT0003413	
ebv-miR-BART5*	ebv-miR-BART5*	MIMAT0009205	
ebv-miR-BART6-3p	ebv-miR-BART6-3p	MIMAT0003415	
ebv-miR-BART6-5p	ebv-miR-BART6-5p	MIMAT0003414	
ebv-miR-BART7	ebv-miR-BART7	MIMAT0003416	
ebv-miR-BART7*	ebv-miR-BART7*	MIMAT0004815	
ebv-miR-BART8	ebv-miR-BART8	MIMAT0003417	
ebv-miR-BART8*	ebv-miR-BART8*	MIMAT0003418	
ebv-miR-BART9	ebv-miR-BART9	MIMAT0003419	
ebv-miR-BART9*	ebv-miR-BART9*	MIMAT0004816	
ebv-miR-BHRF1-1	ebv-miR-BHRF1-1	MIMAT0000995	
ebv-miR-BHRF1-2	ebv-miR-BHRF1-2	MIMAT0000997	
ebv-miR-BHRF1-2*	ebv-miR-BHRF1-2*	MIMAT0000996	
ebv-miR-BHRF1-3	ebv-miR-BHRF1-3	MIMAT0000998	
hcmv-miR-UL112	hcmv-miR-UL112	MIMAT0001577	
hcmv-miR-UL148D	hcmv-miR-UL148D	MIMAT0001578	
hcmv-miR-UL22A	hcmv-miR-UL22A	MIMAT0001574	
hcmv-miR-UL22A*	hcmv-miR-UL22A*	MIMAT0001575	
hcmv-miR-UL36	hcmv-miR-UL36	MIMAT0001576	
hcmv-miR-UL36*	hcmv-miR-UL36*	MIMAT0004754	
hcmv-miR-UL70-3p	hcmv-miR-UL70-3p	MIMAT0003343	
hcmv-miR-UL70-5p	hcmv-miR-UL70-5p	MIMAT0003342	
hcmv-miR-US25-1	hcmv-miR-US25-1	MIMAT0001581	
hcmv-miR-US25-1*	hcmv-miR-US25-1*	MIMAT0004755	
hcmv-miR-US25-2-3p	hcmv-miR-US25-2-3p	MIMAT0001583	
hcmv-miR-US25-2-5p	hcmv-miR-US25-2-5p	MIMAT0001582	
hcmv-miR-US33-3p	hcmv-miR-US33-3p	MIMAT0004756	
hcmv-miR-US33-5p	hcmv-miR-US33-5p	MIMAT0001584	
hcmv-miR-US4	hcmv-miR-US4	MIMAT0003341	
hcmv-miR-US5-1	hcmv-miR-US5-1	MIMAT0001579	
hcmv-miR-US5-2	hcmv-miR-US5-2	MIMAT0001580	
hiv1-miR-H1	hiv1-miR-H1	MIMAT0004480	
hiv1-miR-N367	hiv1-miR-N367	MIMAT0004478	
hiv1-miR-TAR-3p	hiv1-miR-TAR-3p	MIMAT0006017	
hiv1-miR-TAR-5p	hiv1-miR-TAR-5p	MIMAT0006016	
hsa-let-7a-2-3p	hsa-let-7a-2-3p	MIMAT0010195	
hsa-let-7a-3p	hsa-let-7a-3p	MIMAT0004481	
hsa-let-7a-5p	hsa-let-7a-5p	MIMAT0000062	
hsa-let-7b-3p	hsa-let-7b-3p	MIMAT0004482	
hsa-let-7b-5p	hsa-let-7b-5p	MIMAT0000063	
hsa-let-7c	hsa-let-7c	MIMAT0000064	
hsa-let-7d-3p	hsa-let-7d-3p	MIMAT0004484	
hsa-let-7d-5p	hsa-let-7d-5p	MIMAT0000065	
hsa-let-7e-3p	hsa-let-7e-3p	MIMAT0004485	
hsa-let-7e-5p	hsa-let-7e-5p	MIMAT0000066	
hsa-let-7f-1-3p	hsa-let-7f-1-3p	MIMAT0004486	
hsa-let-7f-2-3p	hsa-let-7f-2-3p	MIMAT0004487	
hsa-let-7f-5p	hsa-let-7f-5p	MIMAT0000067	
hsa-let-7g-3p	hsa-let-7g-3p	MIMAT0004584	
hsa-let-7g-5p	hsa-let-7g-5p	MIMAT0000414	
hsa-let-7i-3p	hsa-let-7i-3p	MIMAT0004585	
hsa-let-7i-5p	hsa-let-7i-5p	MIMAT0000415	
hsa-miR-1	hsa-miR-1	MIMAT0000416	
hsa-miR-100-3p	hsa-miR-100-3p	MIMAT0004512	
hsa-miR-100-5p	hsa-miR-100-5p	MIMAT0000098	
hsa-miR-101-3p	hsa-miR-101-3p	MIMAT0000099	
hsa-miR-101-5p	hsa-miR-101-5p	MIMAT0004513	
hsa-miR-103a-2-5p	hsa-miR-103a-2-5p	MIMAT0009196	
hsa-miR-103a-3p	hsa-miR-103a-3p	MIMAT0000101	
hsa-miR-103b	hsa-miR-103b	MIMAT0007402	
hsa-miR-105-3p	hsa-miR-105-3p	MIMAT0004516	
hsa-miR-105-5p	hsa-miR-105-5p	MIMAT0000102	
hsa-miR-106a-3p	hsa-miR-106a-3p	MIMAT0004517	
hsa-miR-106a-5p	hsa-miR-106a-5p	MIMAT0000103	
hsa-miR-106b-3p	hsa-miR-106b-3p	MIMAT0004672	
hsa-miR-106b-5p	hsa-miR-106b-5p	MIMAT0000680	
hsa-miR-107	hsa-miR-107	MIMAT0000104	
hsa-miR-10a-3p	hsa-miR-10a-3p	MIMAT0004555	
hsa-miR-10a-5p	hsa-miR-10a-5p	MIMAT0000253	
hsa-miR-10b-3p	hsa-miR-10b-3p	MIMAT0004556	
hsa-miR-10b-5p	hsa-miR-10b-5p	MIMAT0000254	
hsa-miR-1178	hsa-miR-1178	MIMAT0005823	
hsa-miR-1179	hsa-miR-1179	MIMAT0005824	
hsa-miR-1180	hsa-miR-1180	MIMAT0005825	
hsa-miR-1181	hsa-miR-1181	MIMAT0005826	
hsa-miR-1182	hsa-miR-1182	MIMAT0005827	
hsa-miR-1183	hsa-miR-1183	MIMAT0005828	
hsa-miR-1184	hsa-miR-1184	MIMAT0005829	
hsa-miR-1185-1-3p	hsa-miR-1185-1-3p	MIMAT0022838	
hsa-miR-1185-2-3p	hsa-miR-1185-2-3p	MIMAT0022713	
hsa-miR-1185-5p	hsa-miR-1185-5p	MIMAT0005798	
hsa-miR-1193	hsa-miR-1193	MIMAT0015049	
hsa-miR-1197	hsa-miR-1197	MIMAT0005955	
hsa-miR-1200	hsa-miR-1200	MIMAT0005863	
hsa-miR-1202	hsa-miR-1202	MIMAT0005865	
hsa-miR-1203	hsa-miR-1203	MIMAT0005866	
hsa-miR-1204	hsa-miR-1204	MIMAT0005868	
hsa-miR-1205	hsa-miR-1205	MIMAT0005869	
hsa-miR-1206	hsa-miR-1206	MIMAT0005870	
hsa-miR-1207-3p	hsa-miR-1207-3p	MIMAT0005872	
hsa-miR-1207-5p	hsa-miR-1207-5p	MIMAT0005871	
hsa-miR-1208	hsa-miR-1208	MIMAT0005873	
hsa-miR-122-3p	hsa-miR-122-3p	MIMAT0004590	
hsa-miR-122-5p	hsa-miR-122-5p	MIMAT0000421	
