#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-let-7a	hsa-let-7a	hsa-let-7a	
hsa-let-7a*	hsa-let-7a*	hsa-let-7a*/ mmu-let-7a*/ mmu-let-7c-2*	
hsa-let-7b*	hsa-let-7b*	hsa-let-7b*/ mmu-let-7b*/ rno-let-7b*	
hsa-let-7b	hsa-let-7b	hsa-let-7b/ mmu-let-7b/ rno-let-7b	
hsa-let-7c*	hsa-let-7c*	hsa-let-7c*	
hsa-let-7c	hsa-let-7c	hsa-let-7c/ mmu-let-7c/ rno-let-7c	
hsa-let-7d*	hsa-let-7d*	hsa-let-7d*/ mmu-let-7d*/ rno-let-7d*	
hsa-let-7d	hsa-let-7d	hsa-let-7d/ mmu-let-7d/ rno-let-7d	
hsa-let-7e*	hsa-let-7e*	hsa-let-7e*/ rno-let-7e*	
hsa-let-7e	hsa-let-7e	hsa-let-7e/ mmu-let-7e/ rno-let-7e	
hsa-let-7f-1*	hsa-let-7f-1*	hsa-let-7f-1*/ mmu-let-7f*	
hsa-let-7f-2*	hsa-let-7f-2*	hsa-let-7f-2*	
hsa-let-7f	hsa-let-7f	hsa-let-7f/ mmu-let-7f/ rno-let-7f	
hsa-let-7g*	hsa-let-7g*	hsa-let-7g*/ mmu-let-7g*	
hsa-let-7g	hsa-let-7g	hsa-let-7g/ mmu-let-7g	
hsa-let-7i*	hsa-let-7i*	hsa-let-7i*/ mmu-let-7i*/ rno-let-7i*	
hsa-let-7i	hsa-let-7i	hsa-let-7i/ mmu-let-7i/ rno-let-7i	
hsa-miR-1	hsa-miR-1	hsa-miR-1/ mmu-miR-1	
hsa-miR-100*	hsa-miR-100*	hsa-miR-100*	
hsa-miR-100	hsa-miR-100	hsa-miR-100/ mmu-miR-100/ rno-miR-100	
hsa-miR-101*	hsa-miR-101*	hsa-miR-101*/ mmu-miR-101a*/ rno-miR-101a*	
hsa-miR-101	hsa-miR-101	hsa-miR-101/ mmu-miR-101a/ rno-miR-101a	
hsa-miR-103	hsa-miR-103	hsa-miR-103/ mmu-miR-103/ rno-miR-103	
hsa-miR-105	hsa-miR-105	hsa-miR-105	
hsa-miR-105*	hsa-miR-105*	hsa-miR-105*	
hsa-miR-106a	hsa-miR-106a	hsa-miR-106a	
hsa-miR-106a*	hsa-miR-106a*	hsa-miR-106a*	
hsa-miR-106b*	hsa-miR-106b*	hsa-miR-106b*/ mmu-miR-106b*/ rno-miR-106b*	
hsa-miR-106b	hsa-miR-106b	hsa-miR-106b/ mmu-miR-106b/ rno-miR-106b	
hsa-miR-107	hsa-miR-107	hsa-miR-107	
hsa-miR-10a*	hsa-miR-10a*	hsa-miR-10a*/ mmu-miR-10a*/ rno-miR-10a-3p	
hsa-miR-10a	hsa-miR-10a	hsa-miR-10a/ mmu-miR-10a/ rno-miR-10a-5p	
hsa-miR-10b*	hsa-miR-10b*	hsa-miR-10b*/ mmu-miR-10b*	
hsa-miR-10b	hsa-miR-10b	hsa-miR-10b/ mmu-miR-10b/ rno-miR-10b	
hsa-miR-1178	hsa-miR-1178	hsa-miR-1178	
hsa-miR-1179	hsa-miR-1179	hsa-miR-1179	
hsa-miR-1180	hsa-miR-1180	hsa-miR-1180	
hsa-miR-1181	hsa-miR-1181	hsa-miR-1181	
hsa-miR-1182	hsa-miR-1182	hsa-miR-1182	
hsa-miR-1183	hsa-miR-1183	hsa-miR-1183	
hsa-miR-1184	hsa-miR-1184	hsa-miR-1184	
hsa-miR-1185	hsa-miR-1185	hsa-miR-1185	
hsa-miR-1197	hsa-miR-1197	hsa-miR-1197/ mmu-miR-1197	
hsa-miR-1200	hsa-miR-1200	hsa-miR-1200	
hsa-miR-1201	hsa-miR-1201	hsa-miR-1201	
hsa-miR-1202	hsa-miR-1202	hsa-miR-1202	
hsa-miR-1203	hsa-miR-1203	hsa-miR-1203	
hsa-miR-1204	hsa-miR-1204	hsa-miR-1204	
hsa-miR-1205	hsa-miR-1205	hsa-miR-1205	
hsa-miR-1206	hsa-miR-1206	hsa-miR-1206	
hsa-miR-1207-3p	hsa-miR-1207-3p	hsa-miR-1207-3p	
hsa-miR-1207-5p	hsa-miR-1207-5p	hsa-miR-1207-5p	
hsa-miR-1208	hsa-miR-1208	hsa-miR-1208	
hsa-miR-122*	hsa-miR-122*	hsa-miR-122*	
hsa-miR-122	hsa-miR-122	hsa-miR-122/ mmu-miR-122/ rno-miR-122	
hsa-miR-1224-3p	hsa-miR-1224-3p	hsa-miR-1224-3p	
hsa-miR-1224-5p	hsa-miR-1224-5p	hsa-miR-1224-5p	
hsa-miR-1225-3p	hsa-miR-1225-3p	hsa-miR-1225-3p	
hsa-miR-1225-5p	hsa-miR-1225-5p	hsa-miR-1225-5p	
hsa-miR-1226	hsa-miR-1226	hsa-miR-1226	
hsa-miR-1226*	hsa-miR-1226*	hsa-miR-1226*	
hsa-miR-1227	hsa-miR-1227	hsa-miR-1227	
hsa-miR-1228	hsa-miR-1228	hsa-miR-1228	
hsa-miR-1228*	hsa-miR-1228*	hsa-miR-1228*	
hsa-miR-1229	hsa-miR-1229	hsa-miR-1229	
hsa-miR-1231	hsa-miR-1231	hsa-miR-1231	
hsa-miR-1233	hsa-miR-1233	hsa-miR-1233	
hsa-miR-1234	hsa-miR-1234	hsa-miR-1234	
hsa-miR-1236	hsa-miR-1236	hsa-miR-1236	
hsa-miR-1237	hsa-miR-1237	hsa-miR-1237	
hsa-miR-1238	hsa-miR-1238	hsa-miR-1238	
hsa-miR-124*	hsa-miR-124*	hsa-miR-124*/ mmu-miR-124*/ rno-miR-124*	
hsa-miR-124	hsa-miR-124	hsa-miR-124/ mmu-miR-124/ rno-miR-124	
hsa-miR-1243	hsa-miR-1243	hsa-miR-1243	
hsa-miR-1244	hsa-miR-1244	hsa-miR-1244	
hsa-miR-1245	hsa-miR-1245	hsa-miR-1245	
hsa-miR-1246	hsa-miR-1246	hsa-miR-1246	
hsa-miR-1247	hsa-miR-1247	hsa-miR-1247	
hsa-miR-1248	hsa-miR-1248	hsa-miR-1248	
hsa-miR-1249	hsa-miR-1249	hsa-miR-1249	
hsa-miR-1250	hsa-miR-1250	hsa-miR-1250	
hsa-miR-1251	hsa-miR-1251	hsa-miR-1251	
hsa-miR-1252	hsa-miR-1252	hsa-miR-1252	
hsa-miR-1253	hsa-miR-1253	hsa-miR-1253	
hsa-miR-1254	hsa-miR-1254	hsa-miR-1254	
hsa-miR-1255a	hsa-miR-1255a	hsa-miR-1255a	
hsa-miR-1255b	hsa-miR-1255b	hsa-miR-1255b	
hsa-miR-1256	hsa-miR-1256	hsa-miR-1256	
hsa-miR-1257	hsa-miR-1257	hsa-miR-1257	
hsa-miR-1258	hsa-miR-1258	hsa-miR-1258	
hsa-miR-1259	hsa-miR-1259	hsa-miR-1259	
