logFC	AveExpr	t	P.Value	adj.P.Val	B	miRNA	change
hsa-miR-891a	1.19931428697672	11.1280298428979	5.96488617853075	7.56653906026756e-08	3.48060796772308e-06	7.74352886998541	hsa-miR-891a	up
hsa-miR-1284	1.30512313601134	9.54927420242358	5.5361393746537	4.38355670109874e-07	1.00821804125271e-05	6.04388569248757	hsa-miR-1284	up
hsa-miR-1264	0.900236499540578	12.4137965084426	5.04709498976987	3.0614485800711e-06	4.69422115610903e-05	4.17053127570958	hsa-miR-1264	up
hsa-miR-551a	0.817217905669645	7.66467548591428	4.45780062457959	2.86358308631566e-05	0.000299748429840691	2.02889807158068	hsa-miR-551a	up
hsa-miR-622	0.810836509889014	7.84896535214918	4.42266152268936	3.25813510696403e-05	0.000299748429840691	1.90582119818239	hsa-miR-622	up
hsa-miR-636	-0.506992294635162	7.60573837470726	-4.35146386851884	4.22537470042102e-05	0.000323945393698945	1.65818463042004	hsa-miR-636	down
hsa-miR-320b	-0.400547220737828	14.3270536595916	-3.96826826114275	0.000164716236971712	0.00104312099168968	0.367680752572485	hsa-miR-320b	down
hsa-miR-942	-0.679166383114904	8.29823917847205	-3.92367480365808	0.000192115162803261	0.00104312099168968	0.222401885411066	hsa-miR-942	down
hsa-miR-1246	0.587145927936558	12.268980828582	3.89615761289373	0.000211147722940372	0.00104312099168968	0.133290042853975	hsa-miR-1246	up
hsa-miR-501-5p	-0.596506576603033	9.28064609556216	-3.87529827231441	0.000226765432976018	0.00104312099168968	0.0660137886903707	hsa-miR-501-5p	down
hsa-miR-628-3p	-0.435382725147308	9.94158573840614	-3.80714120748268	0.000285876519508294	0.00119548362703469	-0.152136701516645	hsa-miR-628-3p	down
hsa-miR-934	0.708050370859159	8.08165478631429	3.74051285820506	0.000357712664600767	0.00137123188096961	-0.36287973025602	hsa-miR-934	up
hsa-miR-1321	0.649284222104461	9.25832173611278	3.68915533923219	0.000424519166646569	0.00150214474351863	-0.523593054106535	hsa-miR-1321	up
hsa-miR-1255a	0.426080353446198	10.1504800667033	3.60335826275081	0.000563355163240107	0.00185102410778892	-0.788653093790059	hsa-miR-1255a	up
hsa-miR-720	0.523748171410334	14.3070724888866	3.18868255884875	0.00208837916167898	0.00640436276248221	-2.00608158572669	hsa-miR-720	up
hsa-miR-502-3p	-0.661192415347316	10.1807264759647	-3.1170607520723	0.00259243692038906	0.00745325614611854	-2.20510334718025	hsa-miR-502-3p	down
hsa-miR-1827	-0.524981645401945	11.954889999186	-3.08116855463784	0.0028857494780298	0.00780849858761005	-2.30353688170116	hsa-miR-1827	down
hsa-miR-620	0.557665874390335	7.3745672291037	3.00119314790228	0.00365386052400571	0.00933764356134791	-2.51968948513216	hsa-miR-620	up
hsa-miR-1275	-0.364417843888945	9.07947227978758	-2.97300503753277	0.0039670489793145	0.00960443437097195	-2.59481665732977	hsa-miR-1275	down
hsa-miR-1265	0.339318425094742	8.9282999330554	2.84169836319598	0.00578071201867755	0.0132956376429584	-2.93737069300362	hsa-miR-1265	up
hsa-miR-508-5p	0.539309415402665	8.73123866432907	2.68304939620858	0.00897704944255193	0.0196640130646376	-3.33458823298312	hsa-miR-508-5p	up
hsa-miR-498	0.342366965699919	9.85411429011014	2.61590883979159	0.0107614134492354	0.0225011372120377	-3.49705224998969	hsa-miR-498	up
hsa-miR-1236	-0.466336660188639	7.02775901887988	-2.58854520412672	0.0115766938516183	0.0231533877032366	-3.56228623306836	hsa-miR-1236	down
hsa-miR-647	0.366519588711815	9.28151604663649	2.2299898408869	0.0287504656199359	0.052900856740682	-4.36302997752226	hsa-miR-647	up
hsa-miR-941	-0.478736525292669	8.20213584685713	-2.15044228157878	0.0347539810514566	0.0614878126295001	-4.52665846497989	hsa-miR-941	down
hsa-miR-362-5p	-0.621251166108316	8.97997885890818	-2.12230011672794	0.0371254923672411	0.0632508388478923	-4.5832925212846	hsa-miR-362-5p	down
