symbol	type
hsa-miR-1321	down_mi
hsa-miR-1827	down_mi
hsa-miR-628-3p	down_mi
hsa-miR-636	down_mi
hsa-miR-1246	up_mi
hsa-miR-720	up_mi
KRT80	pc
PLAGL2	pc
PAX5	pc
HPCAL1	pc
MEF2D	pc
CCND3	pc
UBE2D3	pc
BCL2L1	pc
SPRY4	pc
PITPNM3	pc
RTKN	pc
NAV2	pc
ANKRD52	pc
CLASP1	pc
IQSEC2	pc
RPH3A	pc
GPR107	pc
NIBAN2	pc
MYH14	pc
TBC1D25	pc
SRF	pc
CBX2	pc
CTDSP2	pc
ELL	pc
ZFHX3	pc
AK2	pc
SLC6A17	pc
ASXL1	pc
BZW1	pc
APOL6	pc
PDPN	pc
KLHL26	pc
BPNT1	pc
ASB6	pc
F2RL2	pc
ZNF43	pc
QTRT2	pc
ZNF850	pc
ATG12	pc
TPM3	pc
SLC25A45	pc
ALDH6A1	pc
FAM168A	pc
TUBB	pc
CDK19	pc
TMEM59	pc
ARPP19	pc
ATP13A4	pc
ZNF431	pc
MTSS2	pc
NACC2	pc
ZSCAN29	pc
PPM1K	pc
NANP	pc
LIX1L	pc
IFNLR1	pc
PPIL6	pc
MPV17L	pc
APAF1	pc
MIDEAS	pc
MXRA7	pc
ZC3H6	pc
PLEKHG5	pc
SPRYD4	pc
LENG8	pc
MAP4	pc
TASOR	pc
AHCYL2	pc
RSL1D1	pc
RLIM	pc
CDKAL1	pc
SLC35F6	pc
ZNF490	pc
NUFIP2	pc
TOR1AIP2	pc
CCDC68	pc
MYC	pc
SH3BP2	pc
UBE2G1	pc
RAB36	pc
CRKL	pc
NCOA4	pc
TFDP2	pc
FZD4	pc
ACAP2	pc
VPS33A	pc
EGF	pc
PTAR1	pc
TPBG	pc
CLCN5	pc
ARSA	pc
CENPN	pc
EIF1AD	pc
AGO1	pc
ARSJ	pc
SINHCAF	pc
RPS6KA3	pc
PRLR	pc
ZNF813	pc
