hsa-miR-720 hsa-miR-628-3p hsa-miR-1321 hsa-miR-636 hsa-miR-1246 hsa-miR-1827 group
GSM1293460 14.6033417909399 10.023650984941 9.84565052383288 7.14751347493576 12.2707049420197 10.6526826572446 1
GSM1293474 13.5490138082064 9.78591170860258 8.47382092510409 7.25766998010065 12.5706214836179 13.3020448603705 0
GSM1293477 14.3135017188183 10.1510077192004 8.38408121340063 7.68866556104956 12.0787554493442 12.8855514267133 1
GSM1293478 13.3898170103008 10.290196833357 8.2771729716092 7.61859354070999 12.1495092542642 13.5873652395501 1
GSM1293479 13.6419951746049 9.52023312009844 8.90250262076563 7.45387319388776 11.3678477949709 12.7726979071043 1
GSM1293481 13.1823841151854 10.9825249969845 10.2970351429947 8.82099848907355 13.404903779589 10.7613736219402 1
GSM1293484 13.8011807940352 10.6277606287072 8.83958273457976 8.24686522859242 12.0787554493442 12.5269098750744 1
GSM1293485 14.6791326243701 10.2510204659946 8.65526654002769 8.12053646037889 11.1999673854928 12.6496851319523 1
GSM1293486 13.9986045422127 10.2510204659946 8.32051078460452 7.49419989906076 11.5677005082243 12.1954056195051 1
GSM1293487 13.5927013919511 9.68805647561788 8.87792812650882 7.52078867146537 11.5865797092068 13.4856359848825 1
GSM1293490 14.021607449825 10.4050782837757 8.44578153415235 7.53196263865955 11.9620288144808 12.0704817626865 1
GSM1293492 13.0116321024776 10.6896724120164 8.45979420479854 8.17399529075363 11.8589106418669 12.9153637204564 1
GSM1293494 13.6878105523679 9.71028403709633 8.77591584690328 7.76717589717158 11.7307027601021 12.6813255497995 1
GSM1293495 13.9986045422127 10.0898963123164 8.66824828385682 7.36034825510639 12.4427216779903 12.0005646952361 0
GSM1293498 14.16786797628 9.84869889489883 9.20135780347743 8.17399529075363 11.9002022748318 12.3801249895307 1
GSM1293499 13.6419951746049 10.3561839730287 8.86303678375129 7.83145238172075 12.7309497593297 12.0162078502897 0
GSM1293500 13.9359519438973 9.80925216337337 8.49985429151168 7.37727745671032 11.2235095277381 12.3987019933096 1
GSM1293505 14.2813925826816 10.6669836057204 9.76341796211495 7.73952589753952 12.6320662411135 11.7725759932899 0
GSM1293507 14.4450911310883 9.52509453288803 9.47254511510188 7.07835096017148 12.1085734748953 11.9551457682017 0
GSM1293509 14.3252263255437 9.31512673548994 9.48556117628304 7.31581382844541 12.3484844470212 12.1499517365946 1
GSM1293513 14.0930767938641 9.7748072903857 9.27337378541224 7.81974865433098 12.0391017240762 12.3800039375949 1
GSM1293514 13.4790893164169 10.8933997786286 10.4031715748463 7.64230455596505 12.647920004171 12.1075332791623 1
GSM1293517 12.9972796479176 11.2610619486882 9.83838298308379 8.1942422253912 13.3993693983538 12.2706666182827 1
GSM1293518 14.0582368964524 10.3038952625045 9.53620795232994 8.06801744816056 11.9610801256162 12.1740619649192 1
GSM1293519 13.4493197703762 10.2477168294837 9.62920339256038 7.7845870035504 11.8913366674536 12.5770031145547 1
GSM1293524 13.5408778062811 10.9972134626675 9.64196333177307 7.81974865433098 13.188564677433 12.9501844930127 1
GSM1293525 14.7869214665213 9.55329294759883 8.44196699209141 8.30409607269764 11.8368359447323 11.52838642844 1
GSM1293526 14.7572798262566 10.2372039688241 8.02321034512853 8.03660734448773 11.1515181278744 11.9120543734244 1
GSM1293527 14.7572798262566 9.3583151751149 7.28566107438412 7.3053076579386 11.5915584903902 11.52838642844 0
GSM1293528 14.8299042572956 9.58470305127165 7.76005200298594 7.70232752077122 11.7470157036282 11.6378919299785 0
GSM1293529 14.8575035030691 10.4054858064092 4.42374991545694 7.22681370930572 11.2883670898859 11.52838642844 0
GSM1293530 15.1622569611656 8.00871053388792 7.30704305959736 8.14742158152779 11.8533420860077 11.7725759932899 0
GSM1293531 14.514782468513 9.51164894824311 7.69833814338441 7.79844113237884 11.521824383005 11.5736989516471 1
GSM1293532 14.5561416557445 10.7115345345287 8.01018408090944 8.38533558478598 11.2223353492768 12.2706666182827 1
GSM1293533 14.9705310137996 10.2562308918723 8.11343969253221 7.79844113237884 11.4690049711294 11.8714332768637 1
GSM1293534 15.5185468551075 8.88463233700847 8.53176705506165 4.12091238700492 13.1655732725223 11.0751749378571 0
GSM1293535 14.1005998090725 9.79871146018756 8.35167988896932 8.18458142960196 12.1286358979931 11.8392412155467 0
GSM1293536 14.5992797815249 9.67787273187819 9.18181568238265 7.17529411060604 13.1655732725223 12.0894582470321 0
GSM1293537 14.8821637300341 9.61329978184946 8.52489298051485 8.03388707275754 13.4128333397601 11.5981935129754 0
GSM1293538 14.6538718191141 8.99630537637108 7.06761165463651 5.15567555315558 12.4708898140271 11.7224823454685 0
GSM1293539 14.1420111041611 10.5274341339224 9.14137570930856 7.60696417194232 11.3013609028493 12.4956837668743 0
GSM1293540 14.7186986325484 9.96571978570377 8.14418106679111 8.2544107898488 12.1286358979931 12.2367925828174 0
GSM1293542 14.2181330809448 10.5018529652523 8.90902390785817 8.61698058409853 12.0910966022482 11.6917289591082 1
GSM1293543 14.1005998090725 9.51872074063131 8.78433389480592 8.51924769034595 11.500752381381 11.8185727879233 1
GSM1293544 14.0456327061088 10.2248619424771 8.63950788858101 7.51222291804651 11.5667993617221 12.1939724827137 1
GSM1293545 14.2181330809448 10.2330922246999 8.29118531829154 8.20298126793394 11.6816394235612 12.3082279218174 1
GSM1293547 14.3202635355738 8.76067712787794 8.83001331311445 8.3513231192595 12.7618141833203 11.3830476542253 0
GSM1293548 14.2181330809448 10.3177379950116 8.52489298051485 7.96793083958251 12.4610683640091 11.9055712427048 0
GSM1293549 13.659539598153 10.6364656447908 8.84664797623099 8.1740221497711 12.0469452090962 12.1460156388523 0
