mirnaid,refseqid,genesymbol,duplex,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-1246,NM_001278370,MPP2,...(((.....((((((((&)))))))).....))).,3633,3650,1.0,-19.1,1,0.5745299,0.544,3.718441587499999,4.24605648875,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1246,NM_001278371,MPP2,...(((.....((((((((&)))))))).....))).,3569,3586,1.0,-19.1,1,0.5745299,0.544,6.55555975,4.497540346250002,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1246,NM_001278372,MPP2,...(((.....((((((((&)))))))).....))).,3598,3615,1.0,-19.1,1,0.5745299,0.544,5.03437775,4.563714042499999,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1246,NM_001278373,MPP2,...(((.....((((((((&)))))))).....))).,3462,3479,1.0,-19.1,1,0.5745299,0.544,5.522824749999999,3.3703959518750013,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1246,NM_001278374,MPP2,...(((.....((((((((&)))))))).....))).,3407,3424,1.0,-19.1,1,0.5745299,0.544,3.36677225,4.258183325000001,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1246,NM_001278375,MPP2,...(((.....((((((((&)))))))).....))).,3680,3697,1.0,-19.1,1,0.5745299,0.544,5.0112913375,3.1043365299999994,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1246,NM_001278381,MPP2,...(((.....((((((((&)))))))).....))).,3859,3876,1.0,-19.1,1,0.5745299,0.544,-0.34480066249999997,3.963159525,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1246,NM_032737,LMNB2,...((((((((((((((((&.))))))).))))))))).,3351,3397,1.0,-21.8,1,0.01454524,0.382,2.396059529411765,2.556452825,-6.514540193678739,16,19,9,3UTR,MIRT474057,0,0
hsa-miR-1246,XM_011517992,PTPRD,((((((((((((((((((.&)))))))))))))))))).,9857,9876,1.0,-22.3,1,0.004127713,0.676,0.0,0.0,-3.937574446201665,18,19,18,3UTR,MIRT555136,0,0
hsa-miR-1246,NM_020791,TAOK1,...((((((((((((((((&))))))))................)))))))).,5486,5519,1.0,-20.4,1,0.007617377,0.544,1.4009109968750002,1.2583343850000004,-6.514540193678739,16,33,8,3UTR,MIRT196431,0,0
hsa-miR-1246,NM_025142,TAOK1,...((((((((((((((((&))))))))................)))))))).,4480,4513,1.0,-20.4,1,0.007617377,0.544,1.4009109968750002,1.2583343850000004,-6.514540193678739,16,33,8,3UTR,MIRT196431,0,0
hsa-miR-1246,NM_005374,MPP2,...(((.....((((((((&)))))))).....))).,3526,3543,1.0,-19.1,1,0.5745299,0.544,4.037142,3.942928251875,-15.495532259714981,11,17,8,3UTR,MIRT736369,0,0
hsa-miR-1321,XM_005268676,KRT80,(((((((.(((.((((..&)))).))).))))))).,2298,2315,0.9615384615384616,-19.5,1,0.008391609,0.471,0.0,0.0,-9.59801268497865,14,17,7,3UTR,MIRT489809,0,1
hsa-miR-1321,NM_002657,PLAGL2,..((((((((((((((..&)))))...))))))))).,2722,2740,0.9615384615384616,-22.0,1,0.1105098,0.441,0.8478467352941176,0.9468646475000002,-4.95700071937229,14,18,9,3UTR,MIRT762516,0,1
hsa-miR-1321,NM_001242829,IP6K1,(((((((((((((((((.&)))))))))...)))))))).,3986,4007,0.9615384615384616,-17.6,1,0.02265074,0.515,0.0,0.0,-3.937574446201665,17,21,9,3UTR,MIRT475151,0,0
hsa-miR-1321,NM_001280547,PAX5,..((((((((((((.((.&.)).)))))))))))).,5431,5462,0.9692307692307692,-22.7,1,0.1577235,0.5,0.23212218333333334,-0.004800547499999988,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280549,PAX5,..((((((((((((.((.&.)).)))))))))))).,5301,5332,0.9692307692307692,-22.7,1,0.1577235,0.5,0.31175976666666666,-0.1590988775,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280551,PAX5,..((((((((((((.((.&.)).)))))))))))).,5178,5209,0.9692307692307692,-22.7,1,0.1577235,0.5,0.05957343333333334,-0.08312723500000001,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280554,PAX5,..((((((((((((.((.&.)).)))))))))))).,5404,5435,0.9692307692307692,-22.7,1,0.1577235,0.5,0.07284626666666666,-0.033669114999999986,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280556,PAX5,..((((((((((((.((.&.)).)))))))))))).,5367,5398,0.9692307692307692,-22.7,1,0.1577235,0.5,0.12593808333333334,-0.22380449750000003,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_016734,PAX5,..((((((((((((.((.&.)).)))))))))))).,5533,5564,0.9692307692307692,-22.7,1,0.1577235,0.5,0.11930185,0.18234833749999996,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001256440,C19orf47,(((((((((..(((.(..&.).)))..))))))))).,1628,1656,0.9807692307692307,-21.2,1,0.02235819,0.382,5.188378322222222,3.2933147062499994,-8.74030495019083,13,18,9,3UTR,MIRT480415,0,0
hsa-miR-1321,NM_003685,KHSRP,(((((((((....((((.&.))))......))))))))).,2597,2628,0.9807692307692307,-18.8,1,0.1315578,0.559,4.841935333333335,3.588899834999999,-12.640789312202793,13,21,9,3UTR,MIRT474856,0,0
hsa-miR-1321,NM_001256441,C19orf47,(((((((((..(((.(..&.).)))..))))))))).,1611,1639,1.0,-21.2,1,0.02235819,0.382,0.4637896666666667,0.3577659487500001,-8.74030495019083,13,18,9,3UTR,MIRT480415,0,0
hsa-miR-1321,NM_001256647,NR1H2,(((((((((((.(.(((.&.))).).))))))))))).,1915,1953,1.0,-26.1,1,1.541412e-05,0.441,0.0,0.0,-8.141217673318426,15,19,11,3UTR,MIRT737347,0,0
hsa-miR-1321,NM_001258359,HPCAL1,..((((((((..((.((.&))))..)))))))).,1390,1405,1.0,-20.6,1,1.306146e-05,0.382,0.028110999999999997,-0.03741562000000001,-11.864028064629629,12,15,8,3UTR,MIRT737334,0,1
hsa-miR-1321,NM_001270728,BCL2L13,(((..((((((((((((.&))))))))))))..))).,1473,1491,1.0,-21.2,1,0.009969666,0.5,1.2367079166666668,1.5059493649999998,-11.088633895973327,15,18,12,3UTR,MIRT508001,0,0
hsa-miR-1321,NM_001270729,BCL2L13,(((..((((((((((((.&))))))))))))..))).,1651,1669,1.0,-21.2,1,0.009969666,0.5,1.2367079166666668,1.5059493649999998,-11.088633895973327,15,18,12,3UTR,MIRT508001,0,0
hsa-miR-1321,NM_001270731,BCL2L13,(((..((((((((((((.&))))))))))))..))).,1738,1756,1.0,-21.2,1,0.009969666,0.5,1.2367079166666668,1.5059493649999998,-11.088633895973327,15,18,12,3UTR,MIRT508001,0,0
hsa-miR-1321,NM_001270732,BCL2L13,(((..((((((((((((.&))))))))))))..))).,1581,1599,1.0,-21.2,1,0.009969666,0.5,1.2367079166666668,1.5059493649999998,-11.088633895973327,15,18,12,3UTR,MIRT508001,0,0
hsa-miR-1321,NM_001270734,BCL2L13,(((..((((((((((((.&))))))))))))..))).,1594,1612,1.0,-21.2,1,0.009969666,0.5,1.2367079166666668,1.5059493649999998,-11.088633895973327,15,18,12,3UTR,MIRT508001,0,0
hsa-miR-1321,NM_001270735,BCL2L13,(((..((((((((((((.&))))))))))))..))).,1437,1455,1.0,-21.2,1,0.009969666,0.5,1.2367079166666668,1.5059493649999998,-11.088633895973327,15,18,12,3UTR,MIRT508001,0,0
hsa-miR-1321,NM_001271629,MEF2D,(((((((((((.......&))).)))))))).,1867,1880,1.0,-18.8,1,0.001108093,0.412,-0.9009991291666667,-0.34028121124999994,-10.39884692653892,11,13,8,3UTR,MIRT737342,0,1
hsa-miR-1321,NM_001271832,PTPA,((((((((((........&.)))))))))).,2083,2101,1.0,-21.4,1,0.227496,0.471,-1.00320439,-0.42215654999999996,-13.223621401949268,10,12,10,3UTR,MIRT737357,0,0
hsa-miR-1321,NM_001278189,TPM3,..((.(((((..((((((&))))))..))))).)).,2450,2467,1.0,-19.5,1,0.0002763753,0.515,6.081053333333333,6.436699950000001,-15.247615679191467,13,17,6,3UTR,MIRT465379,0,0
hsa-miR-1321,NM_001278191,TPM3,..((.(((((..((((((&))))))..))))).)).,2231,2248,1.0,-19.5,1,0.0002763753,0.515,2.9139666666666666,1.5007654100000003,-15.247615679191467,13,17,6,3UTR,MIRT465379,0,0
hsa-miR-1321,NM_001280548,PAX5,..((((((((((((.((.&.)).)))))))))))).,5446,5477,1.0,-22.7,1,0.1577235,0.5,-0.08642894999999999,-0.004800487500000006,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280550,PAX5,..((((((((((((.((.&.)).)))))))))))).,5214,5245,1.0,-22.7,1,0.1577235,0.5,-0.013427750000000016,-0.0296873,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280552,PAX5,..((((((((((((.((.&.)).)))))))))))).,5344,5375,1.0,-22.7,1,0.1577235,0.5,-0.2855239166666667,-0.01575059249999998,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280553,PAX5,..((((((((((((.((.&.)).)))))))))))).,5317,5348,1.0,-22.7,1,0.1577235,0.5,-0.22579539999999998,-0.05258325750000002,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001280555,PAX5,..((((((((((((.((.&.)).)))))))))))).,5233,5264,1.0,-22.7,1,0.1577235,0.5,-0.19261273333333329,-0.1391894525,-5.692450279622925,14,17,12,3UTR,MIRT471550,0,1
hsa-miR-1321,NM_001283051,ICOSLG,(((((((((((.......&.))))))))))).,2671,2698,1.0,-21.7,1,0.005510493,0.338,-0.4886665454545454,-0.21820351375000002,-10.39884692653892,11,13,11,3UTR,MIRT475389,0,0
hsa-miR-1321,NM_001286360,PPIL6,(((((((((.........&.))))))))).,3024,3037,1.0,-18.4,1,0.09760893,0.412,4.119926555555555,2.86360839625,-14.466127870277449,9,11,9,3UTR,MIRT762517,0,0
hsa-miR-1321,NM_001286361,PPIL6,(((((((((.........&.))))))))).,2888,2901,1.0,-18.4,1,0.09760893,0.412,4.119926555555555,2.86360839625,-14.466127870277449,9,11,9,3UTR,MIRT762517,0,0
hsa-miR-1321,NM_001287434,CCND3,((((((((((...(((..&.))).)))))))))).,860,900,1.0,-22.7,1,0.0004062789,0.368,1.1607736,0.383263295,-11.398282843874613,13,16,10,3UTR,MIRT445770,0,1
